Uniq1;size=2279;	otu1	*
Uniq2;size=1877;	otu2	dqt=44;
Uniq3;size=1179;	otu3	dqt=49;
Uniq4;size=801;	otu4	dqt=45;
Uniq5;size=194;	otu5	dqt=42;
Uniq6;size=133;	otu6	dqt=22;top=OTU_1(91.2%);
Uniq7;size=116;	otu7	dqt=10;top=OTU_2(96.0%);
Uniq8;size=61;	match	dqt=4;top=OTU_6(98.4%);
Uniq9;size=56;	perfect_chimera	dqt=12;top=OTU_1(95.2%);dqm=0;div=4.8;segs=2;parents=OTU_1(1-135/0)+OTU_2(137-250/0);
Uniq10;size=46;	otu8	dqt=54;
Uniq11;size=44;	match	dqt=1;top=OTU_2(99.6%);
Uniq12;size=43;	match	dqt=3;top=OTU_2(98.8%);
Uniq13;size=42;	otu9	dqt=39;
Uniq14;size=42;	match	dqt=5;top=OTU_2(98.0%);
Uniq15;size=40;	match	dqt=2;top=Chimera1(99.2%);
Uniq16;size=36;	match	dqt=2;top=Chimera1(99.2%);
Uniq17;size=36;	otu10	dqt=42;
Uniq18;size=35;	match	dqt=4;top=OTU_1(98.4%);
Uniq19;size=35;	perfect_chimera	dqt=10;top=OTU_2(96.0%);dqm=0;div=4.0;segs=2;parents=OTU_2(1-172/0)+OTU_1(172-248/0);
Uniq20;size=34;	otu11	dqt=33;
Uniq21;size=31;	match	dqt=3;top=OTU_4(98.8%);
Uniq22;size=30;	match	dqt=3;top=OTU_3(98.8%);
Uniq23;size=30;	match	dqt=2;top=OTU_1(99.2%);
Uniq24;size=28;	match	dqt=1;top=OTU_3(99.6%);
Uniq25;size=28;	match	dqt=2;top=Chimera2(99.2%);
Uniq26;size=25;	match	dqt=5;top=OTU_7(98.0%);
Uniq27;size=25;	match	dqt=4;top=OTU_2(98.4%);
Uniq28;size=22;	match	dqt=1;top=OTU_4(99.6%);
Uniq29;size=21;	match	dqt=3;top=OTU_2(98.8%);
Uniq30;size=20;	match	dqt=5;top=OTU_2(98.0%);
Uniq31;size=19;	perfect_chimera	dqt=11;top=OTU_4(95.6%);dqm=0;div=4.4;segs=2;parents=OTU_4(1-176/0)+Chimera2(177-249/0);
Uniq32;size=18;	perfect_chimera	dqt=10;top=OTU_4(96.0%);dqm=0;div=4.0;segs=2;parents=OTU_4(1-176/0)+OTU_2(177-249/0);
Uniq33;size=17;	match	dqt=1;top=OTU_5(99.6%);
Uniq34;size=16;	match	dqt=3;top=Chimera2(98.8%);
Uniq35;size=16;	match	dqt=3;top=OTU_1(98.8%);
Uniq36;size=15;	match	dqt=4;top=Chimera2(98.4%);
Uniq37;size=15;	match	dqt=5;top=OTU_1(98.0%);
Uniq38;size=14;	match	dqt=4;top=OTU_7(98.4%);
Uniq39;size=14;	otu12	dqt=16;top=OTU_7(93.6%);
Uniq40;size=13;	match	dqt=3;top=OTU_7(98.8%);
Uniq41;size=13;	perfect_chimera	dqt=10;top=OTU_3(96.0%);dqm=0;div=4.0;segs=2;parents=OTU_3(1-136/0)+OTU_11(137-249/0);
